Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
159	0.48	39.03	36.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_Medial_L
160	2.09	29.18	39.61	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_L
161	-10.13	59.34	15.6	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Medial_R
162	-9.63	47.36	11.44	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Medial_R
163	-8.0	39.75	42.71	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_R
164	-10.98	45.26	41.26	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_R
165	-7.66	50.42	23.11	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_Medial_R
166	-10.76	56.4	28.18	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_Medial_R
167	-8.4	20.08	49.75	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_R
168	-10.87	25.07	57.49	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_Medial_R
169	-8.21	30.62	43.68	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_R
170	12.0	50.97	-3.84	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Orb_L
171	12.94	24.19	-12.23	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 25	Frontal_Sup_Orb_L
172	15.55	41.92	-5.79	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Frontal_Sup_Orb_L
173	18.66	55.92	4.14	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Orb_L
174	-22.19	56.56	4.75	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Orb_R
175	-17.06	24.36	-12.92	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Sup_Orb_R
176	-14.45	53.01	-4.98	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Orb_R
