Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
583	-34.99	17.41	-27.03	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	0	
584	-23.97	11.44	-29.96	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 38	1	
585	47.43	12.58	-21.75	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	2	
586	41.52	14.52	-27.31	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	1	
587	26.13	12.94	-29.13	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	0	
588	52.87	8.87	-13.79	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	0	
589	34.79	17.49	-26.78	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	0	
590	-31.84	17.76	-19.57	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
591	-48.65	7.03	-7.3	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
592	-44.95	11.89	-9.02	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	1	
593	-23.83	11.53	-21.25	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
594	-40.26	18.49	-15.18	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
595	40.06	17.58	-14.81	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	0	
596	30.14	14.45	-19.38	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	0	
597	50.57	10.85	-9.14	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	1	
598	48.3	11.92	-4.4	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
599	53.46	3.81	0.32	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	*	0	
600	-49.41	-23.3	10.29	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	1	
601	-50.29	-4.27	-0.86	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	*	0	
602	-52.95	-27.91	8.08	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	2	
603	-51.13	-44.22	13.89	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
604	-50.22	-18.84	4.52	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
605	-52.37	-37.37	17.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
606	-47.19	-1.96	-5.97	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
607	-49.38	-11.61	1.59	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
608	-52.96	-34.21	11.65	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	3	
609	53.43	-8.02	5.62	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
610	49.75	-47.46	16.95	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 13	3	
611	54.11	-36.48	13.71	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 42	3	
612	54.2	-33.27	9.01	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	4	
613	51.59	-28.46	13.76	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	0	
614	52.7	-5.41	-0.03	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	3	
615	52.62	-38.88	18.69	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
616	52.34	-21.48	11.36	Right Cerebrum	Temporal Lobe	Transverse Temporal Gyrus	Gray Matter	Brodmann area 41	2	
